lake,Datetime,St,mean_rho,Zg,Zv,mean_depth,lake_area,surface_temp,bottom_temp,therm_dep,max_depth
BM,1993-05-05,0.687347517948786,999.99792919808,12.992665167994,12.9926562146062,7.5,3601324.31758529,7.4,4.4,1.56984819587279,18.2
BM,1993-05-18,32.106055219961,999.920159991508,12.7352477996748,12.7348099720178,7.5,3601324.31758529,11.7,5.4,7.49571738106797,18.2
BM,1993-06-02,54.6221246484075,999.843189528867,12.73555490682,12.7348099720178,7.5,3601324.31758529,12.7,5.9,9.64419481443066,18.2
BM,1993-06-15,97.9162450999985,999.753795794967,12.9939319829385,12.9926562146062,7.5,3601324.31758529,17,6.4,8.00302017192299,18.2
BM,1993-06-28,129.961674261565,999.667987140152,12.9943496539344,12.9926562146062,7.5,3601324.31758529,18.3,6.7,8.77626954489438,18.2
BM,1993-07-14,186.539624660751,999.524330877063,12.995087230828,12.9926562146062,7.5,3601324.31758529,20.8,7,9.12056259590161,18.2
BM,1993-07-28,230.641301726771,999.391318178421,12.9956623714568,12.9926562146062,7.5,3601324.31758529,21.5,7.1,10.2719419716266,18.2
BM,1993-08-12,217.046915649196,999.42712793056,12.9954850821554,12.9926562146062,7.5,3601324.31758529,22.5,7.2,8.99664611546527,18.2
BM,1993-08-26,250.751167436762,999.343359280404,12.9959246383846,12.9926562146062,7.5,3601324.31758529,23.4,7.3,9.45469642378385,18.2
BM,1993-09-08,177.283933005667,999.449648209837,12.9949667817163,12.9926562146062,7.5,3601324.31758529,18.7,7.4,11.3300710150515,18.2
BM,1993-09-21,106.029886791477,999.565518368945,12.9940379572474,12.9926562146062,7.5,3601324.31758529,15.2,7.4,12.9072740102259,18.2
BM,1993-10-04,30.3311873827059,999.684672620689,12.9930514324162,12.9926562146062,7.5,3601324.31758529,11.4,7.7,16.0007706593252,18.2
BM,1993-10-19,1.62156196702041,999.793258250493,12.9926773413942,12.9926562146062,7.5,3601324.31758529,9.7,9.1,5.85893334208722,18.2
BM,1993-11-10,-0.0577830640296203,999.999529345247,12.9926554619253,12.9926562146062,7.5,3601324.31758529,3.9,3.7,1.5,18.2
BM,1994-01-11,5.18173923252915,999.973495781333,12.9927237135836,12.9926562146062,7.5,3601324.31758529,0,3,5.19587551845005,18.2
BM,1994-02-24,3.26649486199208,999.985635092208,12.9926987644869,12.9926562146062,7.5,3601324.31758529,0,3.6,3.35707016283211,18.2
BM,1994-03-30,0.39447657838047,999.998857297869,12.9926613530528,12.9926562146062,7.5,3601324.31758529,0.2,4.1,0.899342748127879,18.2
BM,1994-05-06,0.431944956575487,999.938047522182,12.9926618414576,12.9926562146062,7.5,3601324.31758529,7.2,6.8,3.1984488027256,18.2
